Name,AUID,Coords,Const,Type,Period,Mag
"Gaia DR3 3349870840712733440","--","05 52 55.76 +16 45 57.5","Tau","DSCT|GDOR|SXPHE","--","9.77 - 9.81 G"
"Gaia DR3 3394018332806062848","--","05 15 02.71 +16 46 11.1","Tau","DSCT|GDOR|SXPHE","0.0295398","8.90 - 9.01 G"
"Gaia DR3 3394050489225422336","--","05 20 03.68 +16 07 18.8","Tau","DSCT|GDOR|SXPHE","0.61918","9.25 - 9.27 G"
"Gaia DR3 3394373956098851328","--","05 18 47.28 +17 06 17.5","Tau","DSCT|GDOR|SXPHE","--","9.16 - 9.21 G"
"Gaia DR3 3394392441637962880","--","05 16 42.48 +17 01 12.0","Tau","GDOR","0.46366","8.01 - 8.08 G"
"Gaia DR3 3394661753266926208","--","05 08 29.59 +16 11 48.4","Tau","ACV|roAm|roAp|SXARI","--","9.49 - 9.52 G"
"Gaia DR3 3395348290903743488","--","05 18 38.93 +18 13 03.2","Tau","ACV|roAm|roAp|SXARI","--","9.22 - 9.28 G"
"Gaia DR3 3395392202654674304","--","05 16 40.74 +18 22 44.5","Tau","ACV|roAm|roAp|SXARI","--","9.70 - 9.74 G"
"Gaia DR3 3395668321802770816","--","05 12 50.24 +18 53 17.3","Tau","ACV|roAm|roAp|SXARI","--","9.84 - 9.89 G"
"Gaia DR3 3396356100686810112","--","05 41 42.03 +16 18 17.1","Tau","ACV|roAm|roAp|SXARI","--","9.18 - 9.23 G"
"Gaia DR3 3396397877830881792","--","05 43 29.68 +16 41 54.0","Tau","E","4.08208","8.28 - 9.28 G"
"Gaia DR3 3396622143843218560","--","05 41 38.12 +17 04 42.5","Tau","DSCT|GDOR|SXPHE","--","9.84 - 9.89 G"
"Gaia DR3 3397138746806515456","--","05 29 48.58 +16 45 38.4","Tau","DSCT|GDOR|SXPHE","--","9.73 - 9.78 G"
"Gaia DR3 3397227669810194432","--","05 29 11.47 +17 00 56.5","Tau","ACV|roAm|roAp|SXARI","--","9.07 - 9.10 G"
"Gaia DR3 3397376378756983552","--","05 31 44.71 +17 50 55.1","Tau","ROT","2.83579","9.74 - 9.78 G"
"Gaia DR3 3397467565205750400","--","05 39 20.29 +17 43 51.7","Tau","DSCT|GDOR|SXPHE","--","8.68 - 8.72 G"
"Gaia DR3 3397818657308098048","--","05 34 58.99 +18 37 44.3","Tau","ACV|roAm|roAp|SXARI","--","9.52 - 9.62 G"
"Gaia DR3 3397868474634293504","--","05 38 43.78 +18 46 22.1","Tau","DSCT|GDOR|SXPHE","2.47981","9.56 - 9.61 G"
"Gaia DR3 3397936167615071104","--","05 37 16.35 +19 00 37.8","Tau","DSCT|GDOR|SXPHE","--","9.26 - 9.30 G"
"Gaia DR3 3397954202180751104","--","05 36 10.68 +19 10 23.2","Tau","ROT","--","8.38 - 8.42 G"
"Gaia DR3 3398020379038060928","--","05 49 29.76 +17 31 06.9","Tau","ACV|roAm|roAp|SXARI","--","8.83 - 8.88 G"
"Gaia DR3 3398066150507013376","--","05 47 39.68 +17 43 57.3","Tau","ACV|roAm|roAp|SXARI","--","9.79 - 9.82 G"
"Gaia DR3 3398401875214059776","--","05 49 17.08 +18 29 34.2","Tau","ACV|roAm|roAp|SXARI","--","9.50 - 9.55 G"
"Gaia DR3 3399100580491170688","--","05 43 07.33 +18 31 10.9","Tau","ACV|roAm|roAp|SXARI","--","8.78 - 8.81 G"
"Gaia DR3 3400076435719282304","--","05 45 56.65 +21 18 20.0","Tau","ACV|roAm|roAp|SXARI","--","9.85 - 9.87 G"
"Gaia DR3 3400101376591282176","--","05 48 07.08 +21 06 19.1","Tau","DSCT|GDOR|SXPHE","3.40254","9.62 - 9.66 G"
"Gaia DR3 3400473634292608128","--","05 29 51.21 +18 25 50.7","Tau","DSCT|GDOR|SXPHE","0.0491542","8.01 - 8.12 G"
"Gaia DR3 3400910307911015552","--","05 30 53.43 +19 12 44.5","Tau","DSCT|GDOR|SXPHE","--","9.64 - 9.66 G"
"Gaia DR3 3401202369983942784","--","05 29 03.94 +20 02 43.5","Tau","DSCT|GDOR|SXPHE","2.52761","8.44 - 8.47 G"
"Gaia DR3 3401202610502114816","--","05 28 56.44 +20 03 16.6","Tau","DSCT|GDOR|SXPHE","3.35746","9.45 - 9.47 G"
"Gaia DR3 3401531123961261696","--","05 26 07.82 +19 27 28.0","Tau","DSCT|GDOR|SXPHE","--","9.82 - 9.84 G"
"Gaia DR3 3402350741160364288","--","05 25 51.68 +21 07 57.0","Tau","DSCT|GDOR|SXPHE","0.74982","8.70 - 8.74 G"
"Gaia DR3 3402542915176522112","--","05 36 32.11 +19 56 02.7","Tau","ACV|roAm|roAp|SXARI","--","9.73 - 9.78 G"
"Gaia DR3 3402631872539045888","--","05 40 06.55 +20 27 53.1","Tau","DSCT|GDOR|SXPHE","4.80398","9.59 - 9.64 G"
"Gaia DR3 3402646200550069888","--","05 41 55.36 +20 30 01.9","Tau","DSCT|GDOR|SXPHE","--","8.58 - 8.64 G"
"Gaia DR3 3402750035678946304","--","05 40 14.03 +21 17 09.6","Tau","DSCT|GDOR|SXPHE","--","8.43 - 8.50 G"
"Gaia DR3 3402964612247302528","--","05 36 23.02 +21 11 11.5","Tau","BE|GCAS|SDOR|WR","--","8.80 - 8.96 G"
"Gaia DR3 3403279106931480704","--","05 45 47.78 +22 03 39.7","Tau","DSCT|GDOR|SXPHE","--","9.74 - 9.77 G"
"Gaia DR3 3403368717129277568","--","05 40 52.68 +21 58 44.5","Tau","ACV|roAm|roAp|SXARI","--","9.76 - 9.79 G"
"Gaia DR3 3404296288330422272","000-BQC-414","05 36 54.30 +23 10 24.5","Tau","DSCT|GDOR|SXPHE","1.26138","9.60 - 9.65 G"
"Gaia DR3 3404349859458135424","--","05 42 33.12 +23 21 45.4","Tau","DSCT|GDOR|SXPHE","0.1157045","9.87 - 9.93 G"
"Gaia DR3 3404588693999445760","000-BQC-413","05 37 19.48 +23 34 45.4","Tau","ACV|roAm|roAp|SXARI","--","9.73 - 9.83 G"
"Gaia DR3 3404659578139495936","--","05 36 00.82 +23 55 51.6","Tau","ACV|roAm|roAp|SXARI","--","9.79 - 9.84 G"
"Gaia DR3 3405096702731624320","--","04 47 06.43 +15 43 41.8","Tau","ROT","--","9.78 - 9.81 G"
"Gaia DR3 3405127244241184256","--","04 48 51.68 +15 56 51.1","Tau","ROT","--","9.44 - 9.49 G"
"Gaia DR3 3405297324946333440","--","04 59 10.34 +16 04 18.1","Tau","ROT","--","9.72 - 9.75 G"
"Gaia DR3 3406216383523959936","--","04 43 15.71 +17 04 09.0","Tau","ROT","--","9.51 - 9.53 G"
"Gaia DR3 3406338291875882624","--","04 48 34.86 +17 48 30.7","Tau","ROT","--","9.51 - 9.54 G"
"Gaia DR3 3406786445943961088","--","04 47 37.58 +18 15 31.5","Tau","ROT","24.377","8.34 - 8.37 G"
"Gaia DR3 3406796925665143552","--","04 48 11.89 +18 28 07.2","Tau","ACV|roAm|roAp|SXARI","--","9.93 - 9.97 G"
"Gaia DR3 3406823245223942528","--","04 49 03.52 +18 38 28.5","Tau","ROT","--","8.74 - 8.78 G"
"Gaia DR3 3406943091991364608","--","04 52 23.53 +18 59 48.9","Tau","ROT","--","9.93 - 9.95 G"
"Gaia DR3 3407092659932404608","--","05 04 20.70 +17 54 03.2","Tau","ROT","--","9.77 - 9.80 G"
"Gaia DR3 3407170690898560256","--","05 07 40.86 +18 15 03.2","Tau","ACV|roAm|roAp|SXARI","--","9.87 - 9.90 G"
"Gaia DR3 3408366478512605440","--","05 00 18.35 +19 46 56.3","Tau","ACV|roAm|roAp|SXARI","--","9.36 - 9.45 G"
"Gaia DR3 3408837516166866432","--","05 06 42.80 +20 42 22.7","Tau","ROT","--","9.55 - 9.58 G"
"Gaia DR3 3409148746676599168","--","05 05 46.99 +21 32 55.0","Tau","ROT","--","9.86 - 9.89 G"
"Gaia DR3 3409253990554911488","--","04 41 32.63 +17 24 46.6","Tau","DSCT|GDOR|SXPHE","1.15098","8.28 - 8.32 G"
"Gaia DR3 3409886965654995712","--","04 45 54.25 +18 56 59.2","Tau","E","17.059","9.48 - 9.67 G"
"Gaia DR3 3409891359404877696","--","04 45 32.16 +19 01 25.5","Tau","DSCT|GDOR|SXPHE","1.24762","9.89 - 9.94 G"
"Gaia DR3 3409918164297368704","--","04 46 22.36 +19 12 18.9","Tau","ACV|roAm|roAp|SXARI","--","9.59 - 9.62 G"
"Gaia DR3 3409919500030582784","--","04 46 16.10 +19 17 07.0","Tau","DSCT|GDOR|SXPHE","--","9.91 - 9.96 G"
"Gaia DR3 3410053335507916672","--","04 48 45.87 +19 43 26.2","Tau","DSCT|GDOR|SXPHE","--","9.32 - 9.38 G"
"Gaia DR3 3411887595780736128","--","04 48 42.13 +21 06 03.7","Tau","ROT","--","8.82 - 8.85 G"
"Gaia DR3 3412507136224237696","--","05 00 09.83 +22 35 33.9","Tau","ACV|roAm|roAp|SXARI","--","8.60 - 8.65 G"
"Gaia DR3 3412605297699792512","--","04 47 08.93 +20 52 56.3","Tau","ROT","--","9.47 - 9.51 G"
"Gaia DR3 3413553458975960064","--","04 49 48.03 +23 23 44.7","Tau","ROT","--","8.33 - 8.38 G"
"Gaia DR3 3414891736427413632","--","05 10 44.20 +21 12 24.9","Tau","ACV|roAm|roAp|SXARI","--","9.90 - 9.94 G"
"Gaia DR3 3414941966067063552","--","05 08 46.62 +21 29 44.3","Tau","ACV|roAm|roAp|SXARI","--","8.26 - 8.31 G"
"Gaia DR3 3415066490056691712","--","05 10 57.99 +21 47 27.3","Tau","DSCT|GDOR|SXPHE","2.02908","8.33 - 8.39 G"
"Gaia DR3 3415173555001720192","--","05 08 13.95 +21 48 47.9","Tau","ACV|roAm|roAp|SXARI","--","8.55 - 8.60 G"
"Gaia DR3 3415904588497480960","--","05 16 40.63 +24 06 57.3","Tau","ROT","--","8.88 - 8.91 G"
"Gaia DR3 3415973758947698304","--","05 15 23.21 +24 24 22.0","Tau","DSCT|GDOR|SXPHE","--","9.81 - 9.86 G"
"Gaia DR3 3416204999987444352","--","05 27 55.41 +23 17 35.0","Tau","ACV|roAm|roAp|SXARI","--","8.22 - 8.25 G"
"Gaia DR3 3417165526473546240","--","05 20 55.70 +24 02 07.2","Tau","ROT","3.40419","9.23 - 9.26 G"
"Gaia DR3 3418262254962428160","--","05 03 57.07 +22 32 01.0","Tau","ACV|roAm|roAp|SXARI","--","8.73 - 8.79 G"
"Gaia DR3 3418390515569127040","--","05 05 50.13 +22 51 15.1","Tau","ACV|roAm|roAp|SXARI","--","8.78 - 8.81 G"
"Gaia DR3 3418566128190915968","--","05 03 00.37 +23 25 56.2","Tau","ACV|roAm|roAp|SXARI","--","9.50 - 9.52 G"
"Gaia DR3 3418584854249563520","--","04 59 35.47 +23 04 22.2","Tau","ACV|roAm|roAp|SXARI","--","9.17 - 9.20 G"
"Gaia DR3 3418674881060632064","--","05 03 38.46 +23 38 47.4","Tau","DSCT|GDOR|SXPHE","--","9.90 - 9.92 G"
"Gaia DR3 3418732090024756736","--","05 02 36.17 +23 53 32.6","Tau","VAR","0.0335162","9.40 - 9.42 G"
"Gaia DR3 3418932407299457024","--","05 09 14.76 +24 28 21.0","Tau","DSCT|GDOR|SXPHE","--","9.71 - 9.75 G"
"Gaia DR3 3419192854115395456","--","05 07 13.68 +24 54 28.9","Tau","ROT","--","9.65 - 9.68 G"
"Gaia DR3 3419384890693403776","--","04 58 06.05 +23 42 31.4","Tau","VAR","0.0305673","9.80 - 9.84 G"
"Gaia DR3 3419403788549304832","--","05 00 19.43 +23 55 40.4","Tau","ACV|roAm|roAp|SXARI","--","9.45 - 9.49 G"
"Gaia DR3 3419703469890609664","--","04 57 06.41 +24 45 07.9","Tau","ROT","--","8.42 - 8.46 G"
"Gaia DR3 3419875375957738880","--","04 56 15.11 +25 20 31.1","Tau","RS","--","8.57 - 8.62 G"
"Gaia DR3 3421179465467754368","--","05 20 47.26 +27 01 10.4","Tau","DSCT|GDOR|SXPHE","--","9.87 - 9.91 G"
"Gaia DR3 3422047495539178496","--","05 10 00.85 +27 38 35.4","Tau","ROT","--","8.90 - 8.94 G"
"Gaia DR3 3424802287563253504","--","05 55 08.83 +23 25 05.8","Tau","DSCT|GDOR|SXPHE","--","9.59 - 9.63 G"
"Gaia DR3 3427425791027134976","--","05 53 39.28 +23 15 39.8","Tau","ACV|roAm|roAp|SXARI","--","8.88 - 8.91 G"
"Gaia DR3 3427677613550133120","--","05 49 43.11 +23 42 34.4","Tau","ACV|roAm|roAp|SXARI","--","9.59 - 9.67 G"
"Gaia DR3 3427957164382877824","--","05 57 42.13 +24 18 34.6","Tau","DSCT|GDOR|SXPHE","--","9.46 - 9.51 G"
"Gaia DR3 3428041929857055616","--","05 55 47.83 +24 46 49.2","Tau","ACV|roAm|roAp|SXARI","--","9.86 - 9.93 G"
"Gaia DR3 3428241250698506240","--","05 54 48.17 +25 01 39.6","Tau","DSCT|GDOR|SXPHE","--","9.87 - 9.90 G"
"Gaia DR3 3428393258181273856","--","05 43 07.85 +23 44 08.6","Tau","E","2.55036","9.23 - 9.47 G"
"Gaia DR3 3428567805652683008","--","05 47 15.41 +24 38 58.1","Tau","ACV|roAm|roAp|SXARI","--","9.92 - 9.96 G"
"Gaia DR3 3428598042222274432","--","05 44 06.42 +24 39 03.7","Tau","DSCT|GDOR|SXPHE","0.1534911","9.14 - 9.21 G"
"Gaia DR3 3428780591214678272","--","05 40 15.90 +25 05 01.1","Tau","ACV|roAm|roAp|SXARI","--","9.01 - 9.05 G"
"Gaia DR3 3429110071042962048","--","05 52 22.31 +25 47 44.3","Tau","DSCT|GDOR|SXPHE","--","9.76 - 9.85 G"
"Gaia DR3 3429208576114075520","--","05 51 25.80 +26 29 50.7","Tau","ACV|roAm|roAp|SXARI","--","9.87 - 9.90 G"
"Gaia DR3 3429320313984701056","--","05 45 52.23 +26 06 38.8","Tau","ACV|roAm|roAp|SXARI","--","9.47 - 9.50 G"
"Gaia DR3 3429524861805902592","--","06 00 13.13 +25 11 54.0","Tau","ACV|roAm|roAp|SXARI","--","9.08 - 9.11 G"
"Gaia DR3 3429783075238614784","--","05 57 56.25 +25 32 53.1","Tau","DSCT|GDOR|SXPHE","--","9.30 - 9.32 G"
"Gaia DR3 3430833830398031744","--","05 55 18.74 +27 06 49.9","Tau","DSCT|GDOR|SXPHE","0.62791","9.36 - 9.41 G"
"Gaia DR3 3430838091002664448","--","05 56 16.30 +27 10 15.5","Tau","DSCT|GDOR|SXPHE","--","9.01 - 9.04 G"
"Gaia DR3 3431475498513419776","--","05 57 41.06 +28 17 27.1","Tau","ACV|roAm|roAp|SXARI","--","8.48 - 8.51 G"
"Gaia DR3 3440996955673225984","--","05 40 30.89 +25 59 39.2","Tau","DSCT|GDOR|SXPHE","--","9.28 - 9.33 G"
"Gaia DR3 3440997269207869568","--","05 40 26.45 +26 01 29.1","Tau","ACV|roAm|roAp|SXARI","--","9.83 - 9.87 G"
"Gaia DR3 3441100245342568064","--","05 36 03.51 +26 09 57.1","Tau","ACV|roAm|roAp|SXARI","--","9.80 - 9.85 G"
"Gaia DR3 3441148864372328704","--","05 36 02.70 +26 16 05.9","Tau","ACV|roAm|roAp|SXARI","--","8.20 - 8.25 G"
"Gaia DR3 3441162951866044800","--","05 33 49.66 +26 23 28.5","Tau","ACV|roAm|roAp|SXARI","--","9.79 - 9.85 G"
"Gaia DR3 3441316883493445632","--","05 43 18.69 +26 08 53.0","Tau","DSCT|GDOR|SXPHE","1.20349","9.76 - 9.82 G"
"Gaia DR3 3441337946012894720","--","05 42 40.50 +26 20 43.2","Tau","ACV|roAm|roAp|SXARI","--","9.49 - 9.52 G"
"Gaia DR3 3441341794303524352","--","05 43 34.08 +26 23 48.6","Tau","ACV|roAm|roAp|SXARI","--","9.00 - 9.03 G"
"Gaia DR3 3441459957444118016","--","05 45 34.47 +26 48 50.3","Tau","ACV|roAm|roAp|SXARI","--","9.40 - 9.45 G"
"Gaia DR3 3441498848370648192","--","05 48 15.11 +27 13 37.1","Tau","BCEP","--","9.96 - 10.00 G"
"Gaia DR3 3441712776398467456","--","05 41 26.89 +27 38 11.9","Tau","DSCT|GDOR|SXPHE","--","8.82 - 8.87 G"
"Gaia DR3 3441803451748093440","--","05 44 33.61 +28 08 07.8","Tau","ACV|roAm|roAp|SXARI","--","9.54 - 9.58 G"
"Gaia DR3 3441943089726042112","--","05 32 46.63 +26 44 50.7","Tau","ACV|roAm|roAp|SXARI","--","8.16 - 8.21 G"
"Gaia DR3 3443107678697956608","--","05 48 45.72 +27 59 38.1","Tau","ROT","--","9.81 - 9.88 G"
"Gaia DR3 3443178184882038656","--","05 52 50.19 +28 20 30.4","Tau","ROT","6.9577","9.94 - 9.96 G"
"Gaia DR3 3443181479117513728","--","05 52 58.64 +28 27 39.1","Tau","DSCT|GDOR|SXPHE","2.09035","9.15 - 9.21 G"
"Gaia DR3 3443302360974956288","--","05 44 59.01 +28 11 40.3","Tau","ACV|roAm|roAp|SXARI","--","8.04 - 8.65 G"
"Gaia DR3 36349102796989184","--","03 43 40.49 +10 39 13.7","Tau","RS","--","9.77 - 9.82 G"
"Gaia DR3 38250055322212096","--","03 44 43.86 +13 59 22.1","Tau","DSCT|GDOR|SXPHE","--","9.63 - 9.67 G"
"Gaia DR3 38453464973610496","--","03 58 35.82 +13 06 18.1","Tau","ROT","2.85137","8.83 - 8.87 G"
"Gaia DR3 38557231383403136","--","03 59 23.96 +13 43 59.0","Tau","ACV|roAm|roAp|SXARI","--","8.10 - 8.16 G"
"Gaia DR3 41824498903721472","--","03 30 11.57 +14 15 09.8","Tau","DSCT|GDOR|SXPHE","--","9.14 - 9.17 G"
"Gaia DR3 43538293935879680","--","03 55 06.50 +16 59 54.5","Tau","ROT","--","8.73 - 8.77 G"
"Gaia DR3 47019347749289216","--","04 05 39.67 +17 56 15.8","Tau","ROT","--","9.03 - 9.06 G"
"Gaia DR3 49155664481663744","--","04 23 21.78 +20 35 03.5","Tau","ROT","3.21301","9.66 - 9.69 G"
"Gaia DR3 50529469901830016","--","04 01 28.53 +19 35 47.4","Tau","DSCT|GDOR|SXPHE","--","9.29 - 9.32 G"
"Gaia DR3 50652649563649536","--","04 00 39.53 +20 22 49.5","Tau","ROT","--","8.47 - 8.52 G"
"Gaia DR3 52676231993977472","--","04 11 25.50 +21 51 09.2","Tau","DSCT|GDOR|SXPHE","--","9.77 - 9.80 G"
"Gaia DR3 53292817500279552","--","03 56 39.76 +22 02 35.9","Tau","DSCT|GDOR|SXPHE","--","9.86 - 9.90 G"
"Gaia DR3 57782467074002560","--","03 24 41.82 +19 24 06.6","Tau","DSCT|GDOR|SXPHE","--","8.76 - 8.79 G"
"Gaia DR3 64136922728171008","000-BBG-265","03 48 54.71 +22 47 57.1","Tau","SPB","0.9444","8.10 - 8.14 V"
"Gaia DR3 64378849644201856","--","03 43 42.38 +22 04 16.3","Tau","DSCT|GDOR|SXPHE","--","9.44 - 9.48 G"
"Gaia DR3 65809176834169088","--","03 55 01.77 +23 57 27.7","Tau","ACV|roAm|roAp|SXARI","--","9.23 - 9.26 G"
"Gaia DR3 70794259476628352","--","03 50 50.14 +27 24 52.1","Tau","ROT","--","9.57 - 9.60 G"
"Gaia DR3 72030900817973632","--","03 45 05.97 +29 37 37.8","Tau","ACV|roAm|roAp|SXARI","--","9.10 - 9.13 G"
"HAT-262-0006472","--","04 48 23.28 +24 39 31.6","Tau","UV","--","14.319 (4.206) V"
"HD 22032","--","03 33 11.64 +04 40 13.3","Tau","ACV","4.8589","9.05 - 9.07 V"
"HD 245155","--","05 35 42.79 +25 16 29.4","Tau","ACV","0.70537","9.67 - 9.69 V"
"HD 247441","--","05 47 04.35 +28 13 44.7","Tau","EA","4.2676","9.05 - 9.35 V"
"HD 28150","--","04 27 04.86 +18 12 27.2","Tau","TTS/ROT","0.6962","9.30 - 9.51 V"
"HD 28238","--","04 27 35.96 +06 36 43.2","Tau","ACV","24.743","9.11 - 9.12 V"
"HD 283304","000-BMP-981","04 04 54.31 +27 32 45.2","Tau","ACV","1.5277205","9.87 - 9.92 V"
"HD 284639","--","04 45 59.20 +23 55 00.6","Tau","ACV","9.136","9.77 - 9.79 CV"
"MLS 151206:050928+221935","--","05 09 28.41 +22 19 35.0","Tau","UG","--","20.34 (1.26) CV"
"MLS 160302:042831+202107","--","04 28 31.31 +20 21 07.5","Tau","UG","--","20.07 (1.93) CV"
"MLS_J034047.1+194559","--","03 40 47.12 +19 45 59.3","Tau","RRAB","0.537992","19.06 (1.02) CV"
"MLS_J034312.2+133508","--","03 43 12.21 +13 35 08.8","Tau","RRAB","0.446570:","19.01 (1.00) CV"
"MLS_J040308.5+131307","--","04 03 08.57 +13 13 08.0","Tau","RRAB","0.497039","19.55 (1.06) CV"
"MLS_J040801.9+162818","--","04 08 01.99 +16 28 18.9","Tau","RRAB","0.541488","19.52 (1.23) CV"
"MLS_J041744.4+174521","--","04 17 44.48 +17 45 21.8","Tau","RRAB","0.522690","19.40 (1.00) CV"
"MLS_J041906.1+205200","--","04 19 06.13 +20 52 01.3","Tau","RRAB","0.545230","19.08 (1.03) CV"
"MLS_J042236.1+213135","--","04 22 36.21 +21 31 35.8","Tau","RRAB","0.516795","19.08 (1.09) CV"
"MLS_J042929.3+213337","--","04 29 29.38 +21 33 38.0","Tau","RRAB","0.549612","19.93 (1.03) CV"
"MLS_J043033.3+234639","--","04 30 33.32 +23 46 38.7","Tau","RRAB","0.521354","20.15 (1.07) CV"
"MLS_J043358.1+220446","--","04 33 58.14 +22 04 46.7","Tau","RRAB","0.575957","19.44 (1.06) CV"
"MLS_J043725.2+211020","--","04 37 25.25 +21 10 21.0","Tau","RRAB","0.524076","19.90 (1.17) CV"
"MLS_J043741.3+202717","--","04 37 41.39 +20 27 17.1","Tau","RRAB","0.477459","20.46 (1.27) CV"
"MLS_J043829.4+201732","--","04 38 29.40 +20 17 33.4","Tau","RRAB","0.573608","19.65 (1.01) CV"
"MLS_J043915.1+190652","--","04 39 15.10 +19 06 52.7","Tau","RRAB","0.534687","19.62 (1.12) CV"
"MLS_J044514.6+233559","--","04 45 14.63 +23 35 59.4","Tau","RRAB","0.529630","19.96 (1.00) CV"
"MLS_J044809.8+244630","--","04 48 09.84 +24 46 29.5","Tau","RRAB","0.557106","18.81 (1.04) CV"
"MLS_J044956.2+212649","--","04 49 56.25 +21 26 49.5","Tau","RRAB","0.573678","20.01 (1.12) CV"
"MLS_J045501.0+220110","--","04 55 01.01 +22 01 10.3","Tau","RRAB","0.521457","20.07 (1.18) CV"
"MLS_J045557.5+224212","--","04 55 57.47 +22 42 12.9","Tau","RRAB","0.605322","19.96 (1.00) CV"
"MLS_J045611.0+204505","--","04 56 11.04 +20 45 06.3","Tau","RRAB","0.522606","19.38 (1.14) CV"
"MLS_J050243.0+203816","--","05 02 43.02 +20 38 16.6","Tau","RRAB","0.526325","20.03 (1.15) CV"
"MLS_J050412.2+212656","--","05 04 12.25 +21 26 56.5","Tau","QSO:","--","20.65 (1.25) CV"
"MLS_J051138.5+234657","--","05 11 38.59 +23 46 59.3","Tau","RRAB","0.528097","20.13 (1.02) CV"
"NSV 1192","000-BCX-644","03 34 26.63 +24 27 51.8","Tau","--","--","5.92 - 5.96 V"
"NSV 1227","--","03 41 10.52 +03 36 41.0","Tau","--","--","9.58 - 9.72 V"
"NSV 1296","000-BML-786","03 47 14.55 +24 07 04.9","Tau","VAR:","--","13.56 (1.9)p V"
"NSV 1316","000-BBG-249","03 48 06.54 +24 59 18.3","Tau","LB","--","6.43 - 6.50 V"
"NSV 1466","000-BCX-663","04 07 41.98 +15 09 46.0","Tau","--","--","6.00 - 6.05 V"
"NSV 15689","--","03 26 18.40 +17 09 07.0","Tau","--","--","8.4 - 9.5 V"
"NSV 15709","--","03 30 47.60 +05 09 10.0","Tau","--","--","7.42 - 7.47 Hp"
"NSV 15727","--","03 39 10.80 +27 57 23.0","Tau","--","--","8.84 - 8.95 Hp"
"NSV 15764","000-BCY-975","03 45 51.60 +24 02 20.0","Tau","VAR:","--","7.9 - 8.0 P"
"NSV 15799","000-BCY-997","03 49 56.60 +24 20 56.0","Tau","VAR:","--","7.4 - 7.5 P"
"NSV 1582","000-BBG-932","04 22 56.09 +17 32 33.0","Tau","--","--","3.72 - 3.77 V"
"NSV 15856","000-BCX-998","03 58 46.62 +09 01 33.9","Tau","--","--","8.53 - 8.6 Hp"
"NSV 15878","000-BCY-002","04 03 10.59 +08 52 57.5","Tau","--","--","6.66 - 6.7 Hp"
"NSV 15887","--","04 04 18.80 +12 30 27.0","Tau","--","--","7.36 - 7.42 Hp"
"NSV 15920","--","04 13 24.50 +29 07 22.0","Tau","--","--","7.82 - 7.9 Hp"
"NSV 1594","000-BCX-668","04 25 25.02 +22 12 00.0","Tau","DSCT:","--","5.26 - 5.29 V"
"NSV 15957","--","04 22 34.90 +25 37 46.0","Tau","--","--","5.34 - 5.39 Hp"
"NSV 15988","000-BCY-016","04 26 18.50 +21 28 14.0","Tau","--","--","7.36 - 7.4 V"
"NSV 16035","--","04 30 08.00 +20 52 36.0","Tau","--","--","9.75 - 9.87 Hp"
"NSV 16064","--","04 32 17.20 +24 21 55.0","Tau","IN:","--","16.2 (1) B"
"NSV 16137","--","04 39 55.70 +25 45 02.0","Tau","INT:","--","6 - 6.46: K"
"NSV 1614","--","04 29 30.75 +26 40 18.1","Tau","--","--","9.20 - 9.24 V"
"NSV 16145","--","04 41 08.10 +25 59 34.0","Tau","VAR:","--","8.34 - 8.39 V"
"NSV 16159","000-BCY-032","04 45 34.70 +19 19 42.0","Tau","--","--","8.43 - 8.55 Hp"
"NSV 16230","--","05 03 17.29 +23 49 17.5","Tau","GCAS","--","8.38 - 8.63 V"
"NSV 16299","000-BNK-080","05 24 01.20 +24 57 38.0","Tau","--","--","7.85 - 8.06 Hp"
"NSV 16312","000-BBJ-363","05 28 01.60 +17 14 21.0","Tau","--","--","5.85 - 5.88 Hp"
"NSV 16321","000-BMW-996","05 30 27.53 +25 19 57.1","Tau","YSO","--","8.2 - 8.4 V"
"NSV 16609","000-BCY-071","05 39 14.83 +23 19 24.1","Tau","LC","--","7.47 - 7.59 V"
"NSV 16620","--","05 40 24.80 +23 50 55.0","Tau","VAR:","--","7.56 - 7.8 K"
"NSV 16630","000-BCY-076","05 41 22.60 +17 31 20.0","Tau","--","--","6.91 - 6.99 Hp"
"NSV 16641","000-BCY-080","05 43 02.00 +22 40 32.0","Tau","--","--","8.23 - 8.31 Hp"
"NSV 16687","000-BCY-087","05 50 17.70 +16 34 20.0","Tau","--","--","9.09 - 9.19 Hp"
"NSV 16715","000-BCZ-326","05 52 30.60 +15 32 22.0","Tau","MISC","25.632739","9.66 - 9.83 V"
"NSV 16735","000-BCY-099","05 56 56.10 +24 14 59.0","Tau","--","--","6.08 - 6.13 Hp"
"NSV 16747","000-BCY-102","05 59 53.55 +25 05 19.1","Tau","BE","--","8.96 - 9.25 V"
"NSV 2027","000-BCX-700","05 29 57.87 +16 09 04.0","Tau","--","--","5.00 - 5.30 I"
"NSV 2056","--","05 31 16.45 +22 13 04.1","Tau","VAR","8.3114331","9.82 - 9.93 V"
"NSV 2060","--","05 31 26.35 +26 17 55.0","Tau","VAR","0.14973970","9.63 - 9.75 V"
"NSV 2426","000-BCX-717","05 37 08.84 +26 55 28.1","Tau","--","--","3.5 - 5.78 B"
"NSV 2501","000-BCX-721","05 38 50.28 +16 56 47.4","Tau","SRB","83.44","8.74 - 9.25 V"
"NSV 2560","000-BBJ-949","05 41 17.70 +16 32 02.9","Tau","--","--","6.2 - 7.2 V"
"NSV 2626","000-BCX-725","05 46 45.09 +21 12 01.3","Tau","L","--","8.9 - 9.3 p"
